no,tipe,query,kode_ground_truth,rank_SQL_None,top1_SQL_None,top3_SQL_None,top10_SQL_None,rr_SQL_None,rank_SQL_Basic,top1_SQL_Basic,top3_SQL_Basic,top10_SQL_Basic,rr_SQL_Basic,rank_SQL_Advanced,top1_SQL_Advanced,top3_SQL_Advanced,top10_SQL_Advanced,rr_SQL_Advanced,rank_Hybrid_None,top1_Hybrid_None,top3_Hybrid_None,top10_Hybrid_None,rr_Hybrid_None,rank_Hybrid_Basic,top1_Hybrid_Basic,top3_Hybrid_Basic,top10_Hybrid_Basic,rr_Hybrid_Basic,rank_Hybrid_Advanced,top1_Hybrid_Advanced,top3_Hybrid_Advanced,top10_Hybrid_Advanced,rr_Hybrid_Advanced
31,KBJI,kasir,5230,3,0,1,1,0.3333,3,0,1,1,0.3333,3,0,1,1,0.3333,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
32,KBJI,kasir toko,5230,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
33,KBJI,sopir,8322,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
34,KBJI,sopir truk,8332,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
35,KBJI,admin,4110,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
36,KBJI,admin kantor,4110,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
37,KBJI,kurir,9621,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
38,KBJI,kurir paket,9621,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0
39,KBJI,tukang bangunan,7111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
40,KBJI,tukang listrik rumah,7411,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,8,0,0,1,0.125
41,KBJI,teknisi ac,7127,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
42,KBJI,cleaning service kantor,9112,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
43,KBJI,buruh pabrik harian,9329,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
44,KBJI,penjaga toko sembako,5223,1,1,1,1,1.0,1,1,1,1,1.0,0,0,0,0,0.0,1,1,1,1,1.0,1,1,1,1,1.0,0,0,0,0,0.0
45,KBJI,tukang kayu bangunan,7115,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,4,0,0,1,0.25,4,0,0,1,0.25,0,0,0,0,0.0
46,KBJI,resepsionis hotel,4224,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
47,KBJI,petugas call center,4222,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
48,KBJI,staf keuangan,4312,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
49,KBJI,operator mesin pengemas,8183,2,0,1,1,0.5,2,0,1,1,0.5,0,0,0,0,0.0,2,0,1,1,0.5,2,0,1,1,0.5,0,0,0,0,0.0
50,KBJI,operator forklift,8344,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
51,KBJI,admin gudang,4321,5,0,0,1,0.2,5,0,0,1,0.2,5,0,0,1,0.2,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
52,KBJI,sales toko,5223,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
53,KBJI,teknisi jaringan komputer,3513,3,0,1,1,0.3333,3,0,1,1,0.3333,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
54,KBJI,montir bengkel,7231,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
55,KBJI,sopir pribadi,8322,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
56,KBJI,koki restoran,5120,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
57,KBJI,barista kafe,5132,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
58,KBJI,satpam kantor,5414,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
59,KBJI,guru sekolah dasar,2341,3,0,1,1,0.3333,3,0,1,1,0.3333,3,0,1,1,0.3333,2,0,1,1,0.5,2,0,1,1,0.5,2,0,1,1,0.5
60,KBJI,perawat rumah sakit,2221,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
